orig_index,lat,lon,datetime,error
64,38.923764,-77.028874,2010/12/18 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
65,38.862369,-76.997739,2010/12/21 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
66,38.897825,-77.019898,2010/12/24 00:15:00+00,index 11 is out of bounds for axis 0 with size 10
67,38.879662,-77.008023,2010/12/25 00:00:00+00,index 11 is out of bounds for axis 0 with size 10
68,38.829078,-77.001441,2010/12/23 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
69,38.919317,-77.022952,2001/12/19 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
70,38.95059,-76.994552,2010/12/29 02:55:00+00,index 11 is out of bounds for axis 0 with size 10
71,38.902409,-77.036947,2010/12/30 18:30:00+00,index 11 is out of bounds for axis 0 with size 10
72,38.942552,-76.98309,2010/12/30 18:50:00+00,index 11 is out of bounds for axis 0 with size 10
73,38.931654,-77.02121,2011/02/24 00:30:00+00,index 11 is out of bounds for axis 0 with size 10
74,38.91277,-77.027035,2011/01/06 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
75,38.924609,-77.073815,2011/01/09 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
76,38.90485,-77.066017,2011/01/08 18:32:00+00,index 11 is out of bounds for axis 0 with size 10
77,38.846462,-76.971636,2011/01/09 00:54:00+00,index 11 is out of bounds for axis 0 with size 10
78,38.958888,-77.031582,2011/01/11 07:00:00+00,index 11 is out of bounds for axis 0 with size 10
79,38.936338,-77.031566,2011/01/10 00:43:00+00,index 11 is out of bounds for axis 0 with size 10
80,38.957896,-77.00828,2011/01/09 23:00:00+00,index 11 is out of bounds for axis 0 with size 10
81,38.937399,-77.019033,2011/01/10 23:10:00+00,index 11 is out of bounds for axis 0 with size 10
82,38.924699,-77.068057,2012/01/11 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
83,38.963819,-77.000053,2011/01/11 10:10:00+00,index 11 is out of bounds for axis 0 with size 10
84,38.899974,-77.039806,2012/01/13 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
85,38.915933,-77.067923,2012/01/13 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
86,38.964904,-77.077425,2012/01/13 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
87,38.900774,-77.039447,2011/01/15 22:25:00+00,index 11 is out of bounds for axis 0 with size 10
88,38.928799,-77.004493,2011/01/16 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
89,38.908801,-76.982353,2011/01/18 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
90,38.917735,-77.024402,2011/01/23 05:00:00+00,index 11 is out of bounds for axis 0 with size 10
91,38.955682,-77.027955,2011/01/26 15:30:00+00,index 11 is out of bounds for axis 0 with size 10
92,38.914091,-77.048886,2011/01/30 02:30:00+00,index 11 is out of bounds for axis 0 with size 10
